Cleaned_Tweets,IsFake
 thanks,0
Absolutely,1
Dear Twitter Advertisers,1
Meeting a lot of cool people at Twitter today!,0
Entering Twitter HQ – let that sink in!,0
Definitely closer to citizen journalism – local news orgs are under-appreciated &amp; should get way more prominence on Twitter,0
Nobody bats 1000 ,1
A beautiful thing about Twitter is how it empowers citizen journalism – people are able to disseminate news without an establishment bias,0
I’m a big fan of citizen journalism!,1
“According to unnamed sources close to the matter who wish to remain anonymous” ,0
"“The New York Times has emerged as a new, chaotic actor in global politics. The paper’s interventions in some of the world’s most combustible conflicts have sometimes been a boon, but their messaging has also caused problems.”",0
Yes!,0
30% is a lot,0
Concerning,0
Works on any moving land object,0
Fasting rocks,0
Had to do a double-take. This is the first non-fake Vitalik tweet I’ve seen in a while.,0
One man’s hedge is another man’s shrub,0
Yup,0
TRUE,0
Too much respect for authority inhibits innovation,1
What lesson took you the longest to unlearn?,0
διαλεκτική,0
"Twitter should be as broadly inclusive as possible, serving as a fair forum for lively, even if occasionally rancorous, debate between widely divergent beliefs.",0
Absolutely necessary,0
!,0
Important,0
Yup,1
Exactly!,0
"Yeah, doesn’t make sense",1
Good thread,1
I only play crazy 9’s,0
"That’s the plan, unless it is damaged in testing. What really matters is that ship &amp; booster production line is spooling up. Also, each new ship &amp; booster has incremental design improvements.",0
"Yeah, I’m back to spare bedroom /couch surfing at friend’s houses in Silicon Valley, which I did for about a decade.Frankly, I like it this way, as I get to see my friends, who I love, more often.",0
"I did as a child, but found it to be too simple to be useful in real life: a mere 8 by 8 grid, no fog of war, no technology tree, no random map or spawn position, only 2 players, both sides exact same pieces, etc.Polytopia addresses these limitations.",0
"And I don’t even own a house, let alone a “mansion”, you douche",1
"While it’s true that Kasparov is almost as good at playing chess as my iPhone, he is otherwise an idiot",0
Yes,0
How exciting to be alive at the same time as the largest animal ever! Wild that Blue whales are bigger than the biggest dinosaur.,0
You’re most welcome,0
"Before DoD even came back with an answer, I told  that SpaceX would not turn off Starlink even if DoD refused to provide funding",0
Absolutely!,0
Interesting,0
Great game,0
"Maybe it was a social media algorithm, not even people",0
Think about who might have decided “The Current Thing” before accepting it,0
Who decides “The Current Thing?”Real question. I don’t know.,1
Exactly. WaPo are such hypocrites.,0
Neuralink show &amp; tell now on Nov 30,1
Had to be done,0
We’ve come a long way,0
i know|nothing|is forever,0
Good point ,0
This needs to change. Manufacturing is awesome!,0
It will happen,0
Hear! Hear!,0
Why are you perpetuating propaganda concocted by the oil &amp; gas industry to distract you from the 6 trillion dollars per *year* of subsidies those companies receive?,0
"Switzerland &amp; Belgium have great chocolate, but I do also love eccentric British &amp; Irish artisanal sweet shops",0
Good thread,1
"Next week. It’s actually a major release, so a lot more internal testing is needed before going to public beta.",0
Cool,1
 Although there could be more R&amp;D in candy tbh. Feels like there hasn’t been much improvement in decades.,0
